"EXP(TH(2φ))", "N", "AVG(ρ(TH))/ε", "MAX(ρ(TH))/ε", "AVG(ρ(CH))/ε", "MAX(ρ(CH))/ε", "AVG(ρ(SH))/ε", "MAX(ρ(SH))/ε", "AVG(ρ(th))/ε", "MAX(ρ(th))/ε", "AVG(ρ(ch))/ε", "MAX(ρ(ch))/ε", "AVG(ρ(sh))/ε", "MAX(ρ(sh))/ε"
-19, 1073741824, 4.653161013797172076365E-0001, 1.871563573708275365488E+0000, 5.312649414656717628958E-0001, 1.249993937888165215980E+0000, 7.487113817519725365797E-0001, 3.242383960106989648906E+0000, 4.856160360338042746750E-0001, 2.120171535939138851014E+0000, 8.358986231670345988909E-0001, 2.249993847806539771588E+0000, 1.069340045009592539402E+0000, 4.412743443491816549061E+0000
-18, 1073741824, 4.650736611016185105922E-0001, 1.872997923993439965557E+0000, 5.311164186851637235911E-0001, 1.249907970625651228803E+0000, 7.484381602863810721222E-0001, 3.238011974992826749156E+0000, 4.853691303520602858442E-0001, 2.120425186935606729740E+0000, 8.355514809704088539002E-0001, 2.249906667290177823273E+0000, 1.068046353224043503010E+0000, 4.412486314855576229823E+0000
-17, 1073741824, 4.617080595367736251470E-0001, 1.868833513928739575777E+0000, 5.290370567117698045578E-0001, 1.248523532622378929625E+0000, 7.466120187757281475139E-0001, 3.245154584970687458509E+0000, 4.821106549905305707286E-0001, 2.116289627860031105277E+0000, 8.297457009291253442785E-0001, 2.248534054863574703383E+0000, 1.048569199108769571851E+0000, 4.408983794069397656705E+0000
-16, 1073741824, 4.579699325150335201863E-0001, 1.807468991453353054115E+0000, 5.105211893011943836803E-0001, 1.226547101359656787573E+0000, 7.669390260450885630973E-0001, 3.278979433998602144783E+0000, 4.784953336943886703848E-0001, 2.058484412973237045332E+0000, 7.478516278439533542830E-0001, 2.226546808227038881309E+0000, 9.257623210448665962947E-0001, 4.439912050382350006392E+0000
-15, 1073741824, 4.583972344430304555487E-0001, 1.869246617170432336745E+0000, 5.110230955974269627262E-0001, 1.249992441320070099121E+0000, 7.328045031572554086117E-0001, 3.276985064829543746603E+0000, 4.789142917668110719480E-0001, 2.120213121032267062411E+0000, 6.409290469397748003165E-0001, 2.249876952363566605020E+0000, 8.555593295822958937822E-0001, 4.369134090323182746756E+0000
-14, 1073741824, 4.584204602455289775657E-0001, 1.868161853502155733263E+0000, 5.104124997041628285136E-0001, 1.249976631980243586451E+0000, 7.402259988659872515285E-0001, 3.667998452600565833870E+0000, 4.789167568683621766211E-0001, 2.117991326726456073675E+0000, 6.554250224623757859554E-0001, 2.249872814492928711598E+0000, 8.686117452630442693540E-0001, 4.826719176292186723632E+0000
-13, 1073741824, 4.584034128269222402767E-0001, 1.859218778841411677423E+0000, 5.104130927868966165355E-0001, 1.249990575892946597923E+0000, 7.394568365643941709131E-0001, 3.953679391117816163107E+0000, 4.788904722678362095033E-0001, 2.113593979537912684622E+0000, 6.553861344975684117624E-0001, 2.249924481035438316793E+0000, 8.676710643694224477297E-0001, 4.977447049108785960731E+0000
-12, 1073741824, 4.584045745881178587601E-0001, 1.867619282544726816919E+0000, 5.104080128261818646473E-0001, 1.249984551278559369234E+0000, 7.394981517819683064354E-0001, 3.887719336754501584069E+0000, 4.788450173050103038207E-0001, 2.111046084956777232676E+0000, 6.553055491365833792166E-0001, 2.249657804390868395670E+0000, 8.675738199960987178677E-0001, 4.968322173529194137522E+0000
-11, 1073741824, 4.584083866819018426256E-0001, 1.863121478367075161800E+0000, 5.104077796908614429610E-0001, 1.249954014392725082063E+0000, 7.393428718397311623011E-0001, 3.926605337315354180781E+0000, 4.788013612414293065213E-0001, 2.109593454833930215582E+0000, 6.531986771401817907291E-0001, 2.249194175532073806198E+0000, 8.647042061298772634017E-0001, 4.918753801890963351642E+0000
-10, 1073741824, 4.584287481825846794039E-0001, 1.862805021972272062491E+0000, 5.104222459501688741294E-0001, 1.249980350118817778300E+0000, 7.393502859669799214330E-0001, 3.939917291623631824052E+0000, 4.787330078642585980041E-0001, 2.112981601560160460922E+0000, 6.186809602179855984834E-0001, 2.246437749419132726850E+0000, 8.376117889068921836791E-0001, 5.047779860582964352452E+0000
 -9, 1073741824, 4.584048951645067462324E-0001, 1.864346616771189213179E+0000, 5.104295338486046346316E-0001, 1.249954149739054815779E+0000, 7.393567999334935348073E-0001, 3.997200550486961824529E+0000, 4.785086501659446252935E-0001, 2.108949044513455780993E+0000, 6.142346067707631969025E-0001, 2.247658468579350472666E+0000, 8.345819990372040676037E-0001, 4.870331558540876186277E+0000
 -8, 1073741824, 4.584057218327128594937E-0001, 1.868713345517542636327E+0000, 5.104147699996025709530E-0001, 1.249982532290561499793E+0000, 7.393683848301668162583E-0001, 3.963550584518695826201E+0000, 4.781588221143227477506E-0001, 2.110606219659195273101E+0000, 6.139860004111636371954E-0001, 2.248307412293583808121E+0000, 8.341768429343047067833E-0001, 4.858362078185274802669E+0000
 -7, 1073741824, 4.584276857134272696412E-0001, 1.864931582825035951103E+0000, 5.103953535576227539875E-0001, 1.249975840014054307099E+0000, 7.393545772863430454341E-0001, 3.925168706511490133896E+0000, 4.775910774033513481344E-0001, 2.104046013941171776948E+0000, 6.135693656093722288095E-0001, 2.246828889883940476309E+0000, 8.335287874429886542186E-0001, 5.152529384739832047019E+0000
 -6, 1073741824, 4.584954464468948983879E-0001, 1.863801427559823960175E+0000, 5.103842999184019846845E-0001, 1.250086873212805533197E+0000, 7.394517693538881610339E-0001, 3.908035372984552255053E+0000, 4.766388876946461664064E-0001, 2.112867653882063950100E+0000, 6.127383556626134379541E-0001, 2.247698981577447652801E+0000, 8.323866090296511173741E-0001, 4.907305641109363765349E+0000
 -5, 1073741824, 4.587935961781782717616E-0001, 1.869099428173089532854E+0000, 5.103083382765316631557E-0001, 1.250399745880200513388E+0000, 7.398651837502295305574E-0001, 3.971645566382176403674E+0000, 4.752196059504371128299E-0001, 2.108031108292268633876E+0000, 6.110358908884327251348E-0001, 2.246296384239395502549E+0000, 8.304655027860763089083E-0001, 4.833412991230323506243E+0000
 -4, 1073741824, 4.598736789513147907926E-0001, 1.874823117191602752260E+0000, 5.099066694239270924409E-0001, 1.252924865366315097047E+0000, 7.412903327949176141500E-0001, 4.000733213269420627892E+0000, 4.736469677555985142726E-0001, 2.107513671415709127744E+0000, 6.076415986783947071214E-0001, 2.245481601899794032791E+0000, 8.278901607631809415053E-0001, 4.916957231374874009323E+0000
 -3, 1073741824, 4.641206252622799812542E-0001, 1.884325564293023967064E+0000, 5.083549774084756491348E-0001, 1.271494125752582829233E+0000, 7.469518751645565978044E-0001, 4.008507515977059047088E+0000, 4.742746983362161368020E-0001, 2.107367037733369704942E+0000, 6.006548336145446211357E-0001, 2.248564805638377415048E+0000, 8.266448245979359854131E-0001, 4.900677299468680188798E+0000
 -2, 1073741824, 4.796529363342405702231E-0001, 1.937833550369559242960E+0000, 5.018285024129291060155E-0001, 1.366228045005680151678E+0000, 7.683248800979768139413E-0001, 4.136073395421033816377E+0000, 4.864063662870011240974E-0001, 2.096939696863240733284E+0000, 5.852555600927754509460E-0001, 2.274608325527964127280E+0000, 8.370310413252448311013E-0001, 5.038143004106213276804E+0000
 -1, 1073741824, 5.122922199166479673083E-0001, 2.059546810323789656460E+0000, 5.148931631659785917619E-0001, 3.635630814747857269527E+0000, 8.979205836924992188852E-0001, 5.865373994087033221383E+0000, 5.142836741928120193884E-0001, 2.159236450712628226827E+0000, 6.041140747173752004874E-0001, 4.660006616029084589365E+0000, 9.571424609692935131474E-0001, 6.548894272617589474637E+0000
